,FIPS,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit
200,6041,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,4.8,3.6,79497,1153,10,17,10
201,6043,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.4,0.1,7938,52,0,5,2
202,6045,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.6,0.8,6309,142,2,4,0
203,6047,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,2.4,1.5,11658,268,4,7,1
204,6049,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.3,0.1,100,8,0,0,0
205,6051,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.5,1.9,2830,1178,6,3,21
206,6053,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,4.2,2.4,33243,870,6,16,1
207,6055,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.3,2.0,21478,475,4,7,1
208,6057,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.2,0.5,5333,105,2,4,1
209,6059,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,4.2,2.7,172595,528,4,32,2
210,6061,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,2.0,0.9,22351,184,3,7,1
211,6063,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.7,0.2,859,45,1,2,0
212,6065,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.3,2.0,27262,589,3,13,1
213,6067,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,4.8,4.1,93403,729,6,22,2
214,6069,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.7,1.0,4149,110,2,3,0
215,6071,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,4.4,3.1,44660,1098,3,17,1
216,6073,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,5.3,5.1,82735,1358,4,19,3
217,6075,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,9.6,31.7,653730,11896,26,37,36
218,6077,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.0,1.8,33035,373,5,12,1
219,6079,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,2.6,0.9,13506,277,4,6,1
220,6081,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,6.1,6.5,183088,1411,8,27,10
221,6083,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,4.3,2.5,31301,718,5,10,3
222,6085,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,6.5,6.7,222227,1629,6,40,4
223,6087,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,4.8,4.1,33599,1269,6,15,2
224,6089,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.8,1.0,11633,168,3,6,0
225,6091,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
226,6093,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.9,0.3,2647,63,2,3,0
227,6095,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.9,2.3,25574,597,5,12,3
228,6097,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.4,2.0,46795,430,7,21,2
229,6099,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.6,2.7,34836,540,4,13,0
230,6101,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,2.7,1.5,11554,277,2,6,0
231,6103,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.0,0.5,3041,76,3,3,0
