,FIPS,hospitals,staffed_beds,licensed_beds,icu_beds_Pre,icu_beds_Post
2026,38073,1,25.0,25.0,0.0,0
2029,38079,2,52.0,25.0,0.0,0
2032,38085,1,12.0,0.0,0.0,0
2034,38089,1,25.0,25.0,4.0,4
2036,38093,1,131.0,165.0,6.0,6
2037,38095,1,20.0,20.0,0.0,0
2038,38097,2,41.0,41.0,0.0,0
2039,38099,2,28.0,28.0,0.0,0
2040,38101,2,466.0,441.0,19.0,19
2041,38103,1,25.0,25.0,0.0,0
2042,38105,2,50.0,50.0,0.0,0
2043,39001,1,25.0,25.0,0.0,0
2044,39003,4,529.0,830.0,34.0,62
2045,39005,1,39.0,123.0,6.0,6
2046,39007,4,286.0,431.0,19.0,19
2047,39009,1,156.0,0.0,0.0,0
2048,39011,1,36.0,131.0,6.0,6
2049,39013,2,185.0,45.0,0.0,15
2051,39017,4,809.0,593.0,56.0,74
2053,39021,1,25.0,0.0,0.0,0
2054,39023,2,270.0,40.0,38.0,38
2055,39025,1,147.0,160.0,16.0,16
2056,39027,1,89.0,165.0,6.0,6
2057,39029,2,219.0,199.0,20.0,20
2058,39031,1,56.0,56.0,7.0,7
2059,39033,2,50.0,75.0,9.0,9
2060,39035,15,5850.0,5935.0,397.0,680
2061,39037,1,40.0,104.0,6.0,6
2062,39039,3,73.0,104.0,8.0,8
2063,39041,1,124.0,60.0,6.0,6
2064,39043,1,410.0,405.0,18.0,18
2065,39045,1,213.0,245.0,20.0,20
2066,39047,1,25.0,25.0,0.0,6
2067,39049,10,5911.0,3692.0,368.0,449
2068,39051,1,25.0,117.0,7.0,7
2069,39053,1,157.0,287.0,14.0,14
2070,39055,1,124.0,0.0,12.0,12
2071,39057,2,235.0,206.0,20.0,20
2072,39059,1,156.0,255.0,11.0,11
2073,39061,8,3829.0,3626.0,232.0,297
2074,39063,1,141.0,176.0,0.0,34
2075,39065,1,25.0,25.0,0.0,0
2076,39067,1,25.0,25.0,0.0,0
2077,39069,1,25.0,31.0,5.0,5
2078,39071,2,50.0,70.0,0.0,0
2079,39073,1,25.0,0.0,0.0,4
2080,39075,1,41.0,69.0,4.0,4
2081,39077,2,148.0,198.0,22.0,12
2082,39079,1,24.0,25.0,0.0,4
2083,39081,1,448.0,500.0,12.0,20
2084,39083,1,65.0,111.0,12.0,12
2085,39085,1,709.0,531.0,27.0,27
