,Grocery & pharmacy,Grocery & pharmacy,Grocery & pharmacy
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
20011,-21.0,-15.0,-15.0
20013,0.0,-13.0,-13.0
20015,-11.0,-21.0,-3.0
20021,16.0,5.0,5.0
20027,-22.0,-22.0,-22.0
20029,,,
20031,-24.0,-49.0,-49.0
20035,5.0,-20.0,-20.0
20037,-29.0,-28.0,-14.0
20041,-4.0,-14.0,-14.0
20043,,,
20045,-20.0,-21.0,-16.0
20051,-19.0,-23.0,-23.0
20053,,-31.0,-31.0
20055,2.0,-29.0,-18.0
20057,-1.0,-22.0,-22.0
20059,-27.0,-19.0,-19.0
20061,-18.0,-24.0,-12.0
20067,,,
20073,,,
20077,,,
20079,-1.0,27.0,27.0
20085,-33.0,-26.0,-26.0
20087,13.0,5.0,5.0
20091,-24.0,-24.0,-9.0
20095,,,
20099,0.0,-15.0,-15.0
20103,-19.0,-8.0,-2.0
20107,,,
